"Date","Number of Sales"
"2019-08-22",3166955
"2019-08-23",3170986
"2019-08-24",3176448
"2019-08-25",3180057
"2019-08-26",3182513
"2019-08-27",3186718
"2019-08-28",3190548
"2019-08-29",3193983
"2019-08-30",3197758
"2019-08-31",3203428
"2019-09-01",3208648
"2019-09-02",3213078
"2019-09-03",3216211
"2019-09-04",3219179
"2019-09-05",3221309
"2019-09-06",3222817
"2019-09-07",3224324
"2019-09-08",3225773
"2019-09-09",3227181
"2019-09-10",3228358
"2019-09-11",3229623
"2019-09-12",3230933
"2019-09-13",3232220
"2019-09-14",3235096
"2019-09-15",3237653
"2019-09-16",3238905
"2019-09-17",3239988
"2019-09-18",3241136
"2019-09-19",3242259
"2019-09-20",3243144
"2019-09-21",3245490
"2019-09-22",3247592
"2019-09-23",3249095
"2019-09-24",3250329
"2019-09-25",3251411
"2019-09-26",3252547
"2019-09-27",3253551
"2019-09-28",3255598
"2019-09-29",3258171
"2019-09-30",3260315
"2019-10-01",3264120
"2019-10-02",3267723
"2019-10-03",3271773
"2019-10-04",3275090
"2019-10-05",3278546
"2019-10-06",3281351
"2019-10-07",3284469
"2019-10-08",3287718
"2019-10-09",3293173
"2019-10-10",3297233
"2019-10-11",3302322
"2019-10-12",3305543
"2019-10-13",3308714
"2019-10-14",3312164
"2019-10-15",3316817
"2019-10-16",3320287
"2019-10-17",3324943
"2019-10-18",3329108
"2019-10-19",3333048
"2019-10-20",3341605
"2019-10-21",3344755
"2019-10-22",3347996
"2019-10-23",3350252
"2019-10-24",3352538
"2019-10-25",3355216
"2019-10-26",3359206
"2019-10-27",3362805
"2019-10-28",3366637
"2019-10-29",3369571
"2019-10-30",3372430
"2019-10-31",3375226
"2019-11-01",3378647
"2019-11-02",3382640
"2019-11-03",3385681
"2019-11-04",3388563
"2019-11-05",3391601
"2019-11-06",3396481
"2019-11-07",3402283
"2019-11-08",3406866
"2019-11-09",3411980
"2019-11-10",3417004
"2019-11-11",3420488
"2019-11-12",3424265
"2019-11-13",3428111
"2019-11-14",3430758
"2019-11-15",3433774
"2019-11-16",3436924
"2019-11-17",3439623
"2019-11-18",3442700
"2019-11-19",3445640
"2019-11-20",3448657
"2019-11-21",3451271
"2019-11-22",3463759
"2019-11-23",3481258
"2019-11-24",3501551
"2019-11-25",3511930
"2019-11-26",3524211
"2019-11-27",3536492
"2019-11-28",3546755
"2019-11-29",3565103
"2019-11-30",3578645
"2019-12-01",3595180
"2019-12-02",3609292
"2019-12-03",3617459
"2019-12-04",3625169
"2019-12-05",3635443
"2019-12-06",3643590
"2019-12-07",3653019
"2019-12-08",3664127
"2019-12-09",3673431
"2019-12-10",3681368
"2019-12-11",3689469
"2019-12-12",3697876
"2019-12-13",3703858
"2019-12-14",3710184
"2019-12-15",3716369
"2019-12-16",3721365
"2019-12-17",3725441
"2019-12-18",3731696
"2019-12-19",3737769
"2019-12-20",3742896
"2019-12-21",3749825
"2019-12-22",3758253
"2019-12-23",3762861
"2019-12-24",3767914
"2019-12-25",3773228
"2019-12-26",3778882
"2019-12-27",3786267
"2019-12-28",3793079
"2019-12-29",3800741
"2019-12-30",3806098
"2019-12-31",3811769
"2020-01-01",3819326
"2020-01-02",3828179
"2020-01-03",3836540
"2020-01-04",3848682
"2020-01-05",3858335
"2020-01-06",3864317
"2020-01-07",3872494
"2020-01-08",3878377
"2020-01-09",3885555
"2020-01-10",3891641
"2020-01-11",3898989
"2020-01-12",3907684
"2020-01-13",3915373
"2020-01-14",3924329
"2020-01-15",3931235
"2020-01-16",3935918
"2020-01-17",3940991
"2020-01-18",3948688
"2020-01-19",3957241
"2020-01-20",3970289
"2020-01-21",3979560
"2020-01-22",3987742
"2020-01-23",3997268
"2020-01-24",4014022
"2020-01-25",4024875
"2020-01-26",4037108
"2020-01-27",4046698
"2020-01-28",4054535
"2020-01-29",4060597
"2020-01-30",4065576
"2020-01-31",4071335
"2020-02-01",4078890
"2020-02-02",4085964
"2020-02-03",4090446
"2020-02-04",4093232
"2020-02-05",4096450
"2020-02-06",4099245
"2020-02-07",4102462
"2020-02-08",4111713
"2020-02-09",4126080
"2020-02-10",4131804
"2020-02-11",4143279
"2020-02-12",4148395
"2020-02-13",4154178
"2020-02-14",4158714
"2020-02-15",4163653
"2020-02-16",4167823
"2020-02-17",4173396
"2020-02-18",4178158
"2020-02-19",4182944
