"Date","Primary Sales USD"
"2018-09-17",28451012.19
"2018-09-18",28464358.63
"2018-09-19",28480736.52
"2018-09-20",28499166.96
"2018-09-21",28593463.27
"2018-09-22",28636912.21
"2018-09-23",28658349.44
"2018-09-24",28680865.42
"2018-09-25",28706824.43
"2018-09-26",28740086.34
"2018-09-27",28791072.06
"2018-09-28",28809134.6
"2018-09-29",28826208.92
"2018-09-30",28851215.61
"2018-10-01",28872701.22
"2018-10-02",28893609.79
"2018-10-03",28910765.92
"2018-10-04",28934490.69
"2018-10-05",28964908.15
"2018-10-06",28980618.9
"2018-10-07",28999152.68
"2018-10-08",29012864.91
"2018-10-09",29028691.63
"2018-10-10",29050191.59
"2018-10-11",29081142.65
"2018-10-12",29109605.54
"2018-10-13",29127228.02
"2018-10-14",29144029.28
"2018-10-15",29157029.9
"2018-10-16",29172122.98
"2018-10-17",29190764.5
"2018-10-18",29214095.05
"2018-10-19",29237841.04
"2018-10-20",29250143.39
"2018-10-21",29269088.1
"2018-10-22",29283930.8
"2018-10-23",29299861.43
"2018-10-24",29316779.89
"2018-10-25",29342300.17
"2018-10-26",29363207.68
"2018-10-27",29383739.99
"2018-10-28",29400222
"2018-10-29",29414826.06
"2018-10-30",29428664.85
"2018-10-31",29444612.17
"2018-11-01",29481518.46
"2018-11-02",29533430.12
"2018-11-03",29549889.58
"2018-11-04",29569825.29
"2018-11-05",29589332.55
"2018-11-06",29611447.48
"2018-11-07",29647015.76
"2018-11-08",29671827.17
"2018-11-09",29689749.55
"2018-11-10",29713594.82
"2018-11-11",29755202.73
"2018-11-12",29788369.37
"2018-11-13",29819103.75
"2018-11-14",29844927.47
"2018-11-15",29883240.37
"2018-11-16",29910132.86
"2018-11-17",29922730.25
"2018-11-18",29937732.3
"2018-11-19",29953186.35
"2018-11-20",29974812.37
"2018-11-21",29991448.59
"2018-11-22",30007167.54
"2018-11-23",30022896.79
"2018-11-24",30035364.92
"2018-11-25",30056630.7
"2018-11-26",30072080.03
"2018-11-27",30088842.94
"2018-11-28",30120405.09
"2018-11-29",30137290.63
"2018-11-30",30214699.41
"2018-12-01",30242948.58
"2018-12-02",30256297.61
"2018-12-03",30274261.11
"2018-12-04",30293980.01
"2018-12-05",30307652.23
"2018-12-06",30317165.43
"2018-12-07",30329859.55
"2018-12-08",30337960.84
"2018-12-09",30345283.83
"2018-12-10",30355840.69
"2018-12-11",30362053.33
"2018-12-12",31196887.71
"2018-12-13",31214813.4
"2018-12-14",31370568.36
"2018-12-15",31457044
"2018-12-16",31630607.49
"2018-12-17",31659858.82
"2018-12-18",31685710
"2018-12-19",32036281.07
"2018-12-20",32990164.98
"2018-12-21",35699849.26
"2018-12-22",36060588.88
"2018-12-23",37328408.87
"2018-12-24",37340399.64
"2018-12-25",37346625.48
"2018-12-26",37352438.56
"2018-12-27",37357613.57
"2018-12-28",37362687.45
"2018-12-29",37368798.89
"2018-12-30",37374374.94
"2018-12-31",37382753.11
"2019-01-01",37387196.88
