"Date","Secondary Sales USD"
"2019-09-20",44687061.31
"2019-09-21",44711865.51
"2019-09-22",44735190.65
"2019-09-23",44757565.15
"2019-09-24",44790358.27
"2019-09-25",44816260.96
"2019-09-26",44840498.94
"2019-09-27",44859176.19
"2019-09-28",44872357.87
"2019-09-29",44898648.51
"2019-09-30",44920939.76
"2019-10-01",44953482.15
"2019-10-02",44969131.88
"2019-10-03",44991481.46
"2019-10-04",45016698.78
"2019-10-05",45029006.26
"2019-10-06",45076008.78
"2019-10-07",45111057.9
"2019-10-08",45144380.62
"2019-10-09",45163398.99
"2019-10-10",45178124.06
"2019-10-11",45200506.02
"2019-10-12",45220642.84
"2019-10-13",45234679.13
"2019-10-14",45253941.88
"2019-10-15",45295098.7
"2019-10-16",45368627.74
"2019-10-17",45398138.18
"2019-10-18",45442470.31
"2019-10-19",45475940.59
"2019-10-20",45502866.73
"2019-10-21",45543174.17
"2019-10-22",45577791.06
"2019-10-23",45605604.79
"2019-10-24",45634060.68
"2019-10-25",45664198.67
"2019-10-26",45701784.9
"2019-10-27",45766155.38
"2019-10-28",45810267.16
"2019-10-29",45843436.49
"2019-10-30",45887899.12
"2019-10-31",45931179.11
"2019-11-01",45953081.94
"2019-11-02",45994329.98
"2019-11-03",46033004.62
"2019-11-04",46062326.13
"2019-11-05",46095987.99
"2019-11-06",46124862.55
"2019-11-07",46145733.38
"2019-11-08",46167770.74
"2019-11-09",46188352.77
"2019-11-10",46234562.26
"2019-11-11",46292530.16
"2019-11-12",46319300.77
"2019-11-13",46344643.5
"2019-11-14",46367809.48
"2019-11-15",46381938.97
"2019-11-16",46394427.94
"2019-11-17",46433090.42
"2019-11-18",46466963.71
"2019-11-19",46497590.63
"2019-11-20",46529588.04
"2019-11-21",46557735.28
"2019-11-22",46687678.24
"2019-11-23",46779780.96
"2019-11-24",46866635.39
"2019-11-25",46936029.12
"2019-11-26",46985627.64
"2019-11-27",47066594.74
"2019-11-28",47133773.42
"2019-11-29",47212159.33
"2019-11-30",47290716.57
"2019-12-01",47362882.26
"2019-12-02",47428932.74
"2019-12-03",47508323.48
"2019-12-04",47573455.32
"2019-12-05",47649171.39
"2019-12-06",47702994.98
"2019-12-07",47752312.66
"2019-12-08",47818656.67
"2019-12-09",47920371.63
"2019-12-10",47987781.99
"2019-12-11",48043178.18
"2019-12-12",48105506.6
"2019-12-13",48142563.59
"2019-12-14",48187768.11
"2019-12-15",48215358.97
"2019-12-16",48269151.41
"2019-12-17",48308091.37
"2019-12-18",48360192.62
"2019-12-19",48412405.22
"2019-12-20",48462146.42
"2019-12-21",48496632.71
"2019-12-22",48527132.96
"2019-12-23",48553846.84
"2019-12-24",48582619.78
"2019-12-25",48614271.15
"2019-12-26",48671279.87
"2019-12-27",48711020.74
"2019-12-28",48767235.05
"2019-12-29",48831150.71
"2019-12-30",48880165.27
"2019-12-31",48928371.89
"2020-01-01",48978085.69
"2020-01-02",49037207.37
"2020-01-03",49114833.88
"2020-01-04",49242970.61
"2020-01-05",49309420.83
"2020-01-06",49410641.98
"2020-01-07",49496793.8
"2020-01-08",49566248.82
"2020-01-09",49615045.81
"2020-01-10",49666129.46
"2020-01-11",49734408.84
"2020-01-12",49779029.77
"2020-01-13",49839644.37
"2020-01-14",49913381.69
"2020-01-15",49959107.85
"2020-01-16",50005543.58
"2020-01-17",50065044.97
"2020-01-18",50134503.21
"2020-01-19",50176950.34
"2020-01-20",50225403.51
"2020-01-21",50304282.3
"2020-01-22",50369578.25
"2020-01-23",50422918.59
"2020-01-24",50474102.57
"2020-01-25",50509945.1
"2020-01-26",50560543.35
"2020-01-27",50611496.93
"2020-01-28",50678148.07
"2020-01-29",50734803.75
"2020-01-30",50769912.45
"2020-01-31",50813556.03
"2020-02-01",50859699.85
"2020-02-02",50914901.44
"2020-02-03",50982140.09
"2020-02-04",51054499.14
"2020-02-05",51164281.93
"2020-02-06",51261796.42
"2020-02-07",51471211.15
"2020-02-08",51543775.67
"2020-02-09",51712817.43
"2020-02-10",51836845.71
"2020-02-11",52116184.11
"2020-02-12",52302756.63
"2020-02-13",52431997.9
"2020-02-14",52524686.53
"2020-02-15",52612283.03
"2020-02-16",52730324.33
"2020-02-17",52883725.86
