"Date","Unique Sellers"
"2019-04-16",45826
"2019-04-17",45881
"2019-04-18",45949
"2019-04-19",45992
"2019-04-20",46055
"2019-04-21",46092
"2019-04-22",46165
"2019-04-23",46206
"2019-04-24",46233
"2019-04-25",46273
"2019-04-26",46363
"2019-04-27",46386
"2019-04-28",46444
"2019-04-29",46493
"2019-04-30",46525
"2019-05-01",46580
"2019-05-02",46603
"2019-05-03",46663
"2019-05-04",46751
"2019-05-05",46826
"2019-05-06",46883
"2019-05-07",46960
"2019-05-08",47027
"2019-05-09",47119
"2019-05-10",47188
"2019-05-11",47271
"2019-05-12",47302
"2019-05-13",47393
"2019-05-14",47484
"2019-05-15",47547
"2019-05-16",47581
"2019-05-17",47635
"2019-05-18",47663
"2019-05-19",47739
"2019-05-20",47834
"2019-05-21",47878
"2019-05-22",47894
"2019-05-23",47951
"2019-05-24",48024
"2019-05-25",48093
"2019-05-26",48230
"2019-05-27",48384
"2019-05-28",48428
"2019-05-29",48489
"2019-05-30",48627
"2019-05-31",48685
"2019-06-01",48716
"2019-06-02",48816
"2019-06-03",48877
"2019-06-04",48935
"2019-06-05",48974
"2019-06-06",49012
"2019-06-07",49057
"2019-06-08",49079
"2019-06-09",49185
"2019-06-10",49249
"2019-06-11",49317
"2019-06-12",49400
"2019-06-13",49487
"2019-06-14",49521
"2019-06-15",49621
"2019-06-16",49685
"2019-06-17",49748
"2019-06-18",49792
"2019-06-19",49840
"2019-06-20",49863
"2019-06-21",49900
"2019-06-22",49988
"2019-06-23",50074
"2019-06-24",50202
"2019-06-25",50242
"2019-06-26",50259
"2019-06-27",50358
"2019-06-28",50374
"2019-06-29",50449
"2019-06-30",50468
"2019-07-01",50505
"2019-07-02",50527
"2019-07-03",50549
"2019-07-04",50574
"2019-07-05",50622
"2019-07-06",50650
"2019-07-07",50702
"2019-07-08",50721
"2019-07-09",50775
"2019-07-10",50853
"2019-07-11",50883
"2019-07-12",50916
"2019-07-13",50931
"2019-07-14",50949
"2019-07-15",50985
"2019-07-16",51005
"2019-07-17",51040
"2019-07-18",51080
"2019-07-19",51125
"2019-07-20",51171
"2019-07-21",51217
"2019-07-22",51263
"2019-07-23",51282
"2019-07-24",51305
"2019-07-25",51320
"2019-07-26",51347
"2019-07-27",51371
"2019-07-28",51374
"2019-07-29",51390
"2019-07-30",51410
"2019-07-31",51424
"2019-08-01",51455
"2019-08-02",51487
"2019-08-03",51541
"2019-08-04",51567
"2019-08-05",51614
"2019-08-06",51668
"2019-08-07",51701
"2019-08-08",51783
"2019-08-09",51812
"2019-08-10",51850
"2019-08-11",51877
"2019-08-12",51916
"2019-08-13",51943
"2019-08-14",51978
"2019-08-15",52037
"2019-08-16",52088
"2019-08-17",52154
"2019-08-18",52204
"2019-08-19",52241
"2019-08-20",52277
"2019-08-21",52295
"2019-08-22",52335
"2019-08-23",52433
"2019-08-24",52478
"2019-08-25",52514
"2019-08-26",52534
"2019-08-27",52543
"2019-08-28",52580
"2019-08-29",52644
"2019-08-30",52653
"2019-08-31",52715
"2019-09-01",52748
"2019-09-02",52781
"2019-09-03",52812
"2019-09-04",52861
"2019-09-05",52872
"2019-09-06",52896
"2019-09-07",52908
"2019-09-08",52917
"2019-09-09",52919
"2019-09-10",52942
"2019-09-11",52969
"2019-09-12",52977
"2019-09-13",53006
"2019-09-14",53024
"2019-09-15",53030
"2019-09-16",53033
"2019-09-17",53054
"2019-09-18",53066
"2019-09-19",53083
"2019-09-20",53094
"2019-09-21",53095
