"Date","Primary Sales"
"2018-06-20",903156
"2018-06-21",905654
"2018-06-22",910019
"2018-06-23",912353
"2018-06-24",914798
"2018-06-25",916758
"2018-06-26",918485
"2018-06-27",920324
"2018-06-28",922381
"2018-06-29",924957
"2018-06-30",927023
"2018-07-01",928095
"2018-07-02",928668
"2018-07-03",929129
"2018-07-04",929738
"2018-07-05",930441
"2018-07-06",931933
"2018-07-07",933061
"2018-07-08",934508
"2018-07-09",936918
"2018-07-10",938589
"2018-07-11",940381
"2018-07-12",942856
"2018-07-13",946196
"2018-07-14",947576
"2018-07-15",948732
"2018-07-16",950470
"2018-07-17",951887
"2018-07-18",953253
"2018-07-19",954735
"2018-07-20",955960
"2018-07-21",957746
"2018-07-22",959458
"2018-07-23",961160
"2018-07-24",962497
"2018-07-25",964491
"2018-07-26",967279
"2018-07-27",970759
"2018-07-28",973340
"2018-07-29",975032
"2018-07-30",976402
"2018-07-31",977933
"2018-08-01",980008
"2018-08-02",981721
"2018-08-03",982918
"2018-08-04",984265
"2018-08-05",985407
"2018-08-06",986394
"2018-08-07",987325
"2018-08-08",988511
"2018-08-09",989584
"2018-08-10",990651
"2018-08-11",991944
"2018-08-12",993708
"2018-08-13",995645
"2018-08-14",998152
"2018-08-15",1000850
"2018-08-16",1003853
"2018-08-17",1008209
"2018-08-18",1013326
"2018-08-19",1019352
"2018-08-20",1022051
"2018-08-21",1024827
"2018-08-22",1026840
"2018-08-23",1030163
"2018-08-24",1034460
"2018-08-25",1038406
"2018-08-26",1041535
"2018-08-27",1045865
"2018-08-28",1049236
"2018-08-29",1053204
"2018-08-30",1060419
"2018-08-31",1069985
"2018-09-01",1078489
"2018-09-02",1085543
"2018-09-03",1091936
"2018-09-04",1096060
"2018-09-05",1100537
"2018-09-06",1106485
"2018-09-07",1112927
"2018-09-08",1117685
"2018-09-09",1125133
"2018-09-10",1131916
"2018-09-11",1141135
"2018-09-12",1149336
"2018-09-13",1152496
"2018-09-14",1155920
"2018-09-15",1158664
"2018-09-16",1161111
"2018-09-17",1164162
"2018-09-18",1167335
"2018-09-19",1171785
"2018-09-20",1175479
"2018-09-21",1180082
"2018-09-22",1186346
"2018-09-23",1190960
"2018-09-24",1194893
"2018-09-25",1198642
"2018-09-26",1203483
"2018-09-27",1208528
"2018-09-28",1211354
"2018-09-29",1214748
"2018-09-30",1218940
"2018-10-01",1222768
"2018-10-02",1225290
"2018-10-03",1228314
"2018-10-04",1231939
"2018-10-05",1238254
"2018-10-06",1241978
"2018-10-07",1245538
"2018-10-08",1248891
"2018-10-09",1251755
"2018-10-10",1255117
"2018-10-11",1260534
"2018-10-12",1264392
"2018-10-13",1267518
"2018-10-14",1270139
"2018-10-15",1272564
"2018-10-16",1275078
"2018-10-17",1279622
"2018-10-18",1282238
"2018-10-19",1288890
"2018-10-20",1292623
"2018-10-21",1297351
"2018-10-22",1300955
"2018-10-23",1305305
"2018-10-24",1308521
"2018-10-25",1311286
"2018-10-26",1315111
"2018-10-27",1319635
"2018-10-28",1323048
"2018-10-29",1326550
"2018-10-30",1329587
"2018-10-31",1332469
"2018-11-01",1335407
"2018-11-02",1338286
"2018-11-03",1342047
"2018-11-04",1345661
"2018-11-05",1349103
"2018-11-06",1351932
"2018-11-07",1356548
"2018-11-08",1359356
"2018-11-09",1361997
"2018-11-10",1365329
"2018-11-11",1368719
"2018-11-12",1371941
"2018-11-13",1376225
"2018-11-14",1380538
"2018-11-15",1389373
"2018-11-16",1394756
"2018-11-17",1398807
"2018-11-18",1402413
"2018-11-19",1405695
"2018-11-20",1409009
"2018-11-21",1414298
"2018-11-22",1419937
"2018-11-23",1423667
"2018-11-24",1427414
"2018-11-25",1431826
"2018-11-26",1436548
"2018-11-27",1441758
"2018-11-28",1445949
"2018-11-29",1449586
"2018-11-30",1454703
"2018-12-01",1464111
"2018-12-02",1470747
"2018-12-03",1476872
"2018-12-04",1482260
"2018-12-05",1486848
"2018-12-06",1491283
"2018-12-07",1495549
"2018-12-08",1498279
"2018-12-09",1501559
"2018-12-10",1503602
"2018-12-11",1506180
"2018-12-12",1509119
"2018-12-13",1513610
"2018-12-14",1517384
"2018-12-15",1522441
"2018-12-16",1527545
"2018-12-17",1531523
"2018-12-18",1534412
"2018-12-19",1537643
"2018-12-20",1541555
"2018-12-21",1547747
"2018-12-22",1550670
"2018-12-23",1556955
"2018-12-24",1560068
"2018-12-25",1562470
"2018-12-26",1564644
"2018-12-27",1566855
"2018-12-28",1569239
"2018-12-29",1571464
"2018-12-30",1573889
"2018-12-31",1576558
"2019-01-01",1578340
"2019-01-02",1580290
"2019-01-03",1582264
"2019-01-04",1584319
"2019-01-05",1586451
"2019-01-06",1588447
"2019-01-07",1590669
"2019-01-08",1592315
"2019-01-09",1594014
"2019-01-10",1596033
"2019-01-11",1602774
"2019-01-12",1607498
"2019-01-13",1611651
"2019-01-14",1615120
"2019-01-15",1618350
"2019-01-16",1621846
"2019-01-17",1624517
"2019-01-18",1628096
"2019-01-19",1631117
"2019-01-20",1634230
"2019-01-21",1637389
"2019-01-22",1639010
"2019-01-23",1641017
"2019-01-24",1643951
"2019-01-25",1646190
"2019-01-26",1651896
"2019-01-27",1657573
"2019-01-28",1661340
"2019-01-29",1663574
"2019-01-30",1665837
"2019-01-31",1668027
"2019-02-01",1670676
"2019-02-02",1673837
"2019-02-03",1677479
"2019-02-04",1679724
"2019-02-05",1681827
"2019-02-06",1683534
"2019-02-07",1685557
"2019-02-08",1688030
"2019-02-09",1692587
"2019-02-10",1697111
"2019-02-11",1700382
"2019-02-12",1703052
"2019-02-13",1705587
"2019-02-14",1709051
"2019-02-15",1711702
"2019-02-16",1716913
"2019-02-17",1720672
"2019-02-18",1724082
"2019-02-19",1725773
"2019-02-20",1727602
"2019-02-21",1729817
"2019-02-22",1732875
"2019-02-23",1736448
"2019-02-24",1739540
"2019-02-25",1742827
"2019-02-26",1746513
"2019-02-27",1748472
"2019-02-28",1749980
"2019-03-01",1752567
"2019-03-02",1756642
"2019-03-03",1762240
"2019-03-04",1766467
"2019-03-05",1770147
"2019-03-06",1774001
"2019-03-07",1778620
"2019-03-08",1783809
"2019-03-09",1788715
"2019-03-10",1792475
"2019-03-11",1795155
"2019-03-12",1798107
"2019-03-13",1800824
"2019-03-14",1803576
"2019-03-15",1806669
"2019-03-16",1812519
"2019-03-17",1817777
"2019-03-18",1821870
"2019-03-19",1825658
"2019-03-20",1829240
"2019-03-21",1832139
"2019-03-22",1835512
"2019-03-23",1840350
"2019-03-24",1845347
"2019-03-25",1849199
"2019-03-26",1852489
"2019-03-27",1855595
"2019-03-28",1858283
"2019-03-29",1883566
"2019-03-30",1891329
"2019-03-31",1900249
"2019-04-01",1906938
"2019-04-02",1911008
"2019-04-03",1914262
"2019-04-04",1916964
"2019-04-05",1919662
"2019-04-06",1922893
"2019-04-07",1926085
"2019-04-08",1928115
"2019-04-09",1930659
"2019-04-10",1933383
"2019-04-11",1935727
"2019-04-12",1938604
"2019-04-13",1943969
"2019-04-14",1950114
"2019-04-15",1953038
"2019-04-16",1956039
"2019-04-17",1959313
"2019-04-18",1962692
"2019-04-19",1966784
"2019-04-20",1970336
"2019-04-21",1973998
"2019-04-22",1977126
"2019-04-23",1979995
"2019-04-24",1982740
"2019-04-25",1985720
"2019-04-26",1988553
"2019-04-27",1991964
"2019-04-28",1995417
"2019-04-29",1998253
"2019-04-30",2001269
"2019-05-01",2005258
"2019-05-02",2008970
"2019-05-03",2012229
"2019-05-04",2015944
"2019-05-05",2019359
"2019-05-06",2021962
"2019-05-07",2023353
"2019-05-08",2026602
"2019-05-09",2029628
"2019-05-10",2033784
"2019-05-11",2039908
"2019-05-12",2044360
"2019-05-13",2048057
"2019-05-14",2050925
"2019-05-15",2052535
"2019-05-16",2053743
"2019-05-17",2056383
"2019-05-18",2059046
"2019-05-19",2061745
"2019-05-20",2064245
"2019-05-21",2066449
"2019-05-22",2068408
"2019-05-23",2070257
"2019-05-24",2073244
"2019-05-25",2076992
"2019-05-26",2080533
"2019-05-27",2083569
"2019-05-28",2087559
"2019-05-29",2091058
"2019-05-30",2095257
"2019-05-31",2098630
"2019-06-01",2100604
"2019-06-02",2102637
"2019-06-03",2104568
"2019-06-04",2106065
"2019-06-05",2107926
"2019-06-06",2109306
"2019-06-07",2111732
"2019-06-08",2113899
"2019-06-09",2117331
"2019-06-10",2119183
"2019-06-11",2121428
"2019-06-12",2123395
"2019-06-13",2125602
"2019-06-14",2127818
"2019-06-15",2130127
"2019-06-16",2132928
"2019-06-17",2134851
"2019-06-18",2136595
"2019-06-19",2138307
"2019-06-20",2139697
"2019-06-21",2141738
"2019-06-22",2144280
"2019-06-23",2146675
"2019-06-24",2149294
"2019-06-25",2151220
"2019-06-26",2152984
"2019-06-27",2153866
"2019-06-28",2154994
"2019-06-29",2156919
"2019-06-30",2158168
"2019-07-01",2159085
"2019-07-02",2159998
"2019-07-03",2160967
"2019-07-04",2162598
"2019-07-05",2164089
"2019-07-06",2166219
"2019-07-07",2168219
"2019-07-08",2169795
"2019-07-09",2171324
"2019-07-10",2172948
"2019-07-11",2174148
"2019-07-12",2175813
"2019-07-13",2177812
"2019-07-14",2179715
"2019-07-15",2181430
"2019-07-16",2182147
"2019-07-17",2184130
"2019-07-18",2187056
"2019-07-19",2189211
"2019-07-20",2192842
"2019-07-21",2196774
"2019-07-22",2199500
"2019-07-23",2202451
"2019-07-24",2204487
"2019-07-25",2206394
"2019-07-26",2209742
"2019-07-27",2213068
"2019-07-28",2216394
"2019-07-29",2219506
"2019-07-30",2223027
"2019-07-31",2225770
"2019-08-01",2228052
"2019-08-02",2230067
"2019-08-03",2232698
"2019-08-04",2235188
"2019-08-05",2237528
"2019-08-06",2238882
"2019-08-07",2240726
"2019-08-08",2242690
"2019-08-09",2244787
"2019-08-10",2246329
"2019-08-11",2247946
"2019-08-12",2249625
"2019-08-13",2251097
"2019-08-14",2253027
"2019-08-15",2254946
"2019-08-16",2256789
"2019-08-17",2259555
"2019-08-18",2262424
"2019-08-19",2264134
"2019-08-20",2270240
"2019-08-21",2274218
"2019-08-22",2277384
"2019-08-23",2280572
"2019-08-24",2285111
"2019-08-25",2287975
"2019-08-26",2289808
"2019-08-27",2293430
"2019-08-28",2296587
"2019-08-29",2299357
"2019-08-30",2302519
"2019-08-31",2307058
"2019-09-01",2311404
"2019-09-02",2315142
"2019-09-03",2317672
"2019-09-04",2319949
"2019-09-05",2321543
"2019-09-06",2322543
"2019-09-07",2323543
"2019-09-08",2324532
"2019-09-09",2325372
"2019-09-10",2326038
"2019-09-11",2326799
"2019-09-12",2327514
"2019-09-13",2328219
"2019-09-14",2330475
"2019-09-15",2332199
"2019-09-16",2333019
"2019-09-17",2333560
"2019-09-18",2334253
"2019-09-19",2334908
"2019-09-20",2335388
"2019-09-21",2337059
"2019-09-22",2338604
"2019-09-23",2339472
"2019-09-24",2340225
"2019-09-25",2340793
"2019-09-26",2341441
"2019-09-27",2341981
"2019-09-28",2343469
"2019-09-29",2345421
"2019-09-30",2347036
"2019-10-01",2350230
"2019-10-02",2353317
"2019-10-03",2356792
"2019-10-04",2359461
"2019-10-05",2362299
"2019-10-06",2364059
"2019-10-07",2366403
"2019-10-08",2368753
"2019-10-09",2373510
"2019-10-10",2376972
"2019-10-11",2381357
"2019-10-12",2383694
"2019-10-13",2386227
"2019-10-14",2389183
"2019-10-15",2393217
"2019-10-16",2395784
"2019-10-17",2399644
"2019-10-18",2403003
"2019-10-19",2406042
"2019-10-20",2413703
"2019-10-21",2415915
"2019-10-22",2418062
"2019-10-23",2419631
"2019-10-24",2421219
"2019-10-25",2423009
"2019-10-26",2425926
"2019-10-27",2428579
"2019-10-28",2431377
"2019-10-29",2433490
"2019-10-30",2435503
"2019-10-31",2437400
"2019-11-01",2439992
"2019-11-02",2443119
"2019-11-03",2445401
"2019-11-04",2447512
"2019-11-05",2449798
"2019-11-06",2453886
"2019-11-07",2459089
"2019-11-08",2463110
"2019-11-09",2467339
"2019-11-10",2471558
"2019-11-11",2474300
"2019-11-12",2477328
"2019-11-13",2480147
"2019-11-14",2482183
"2019-11-15",2484659
"2019-11-16",2487178
"2019-11-17",2489197
"2019-11-18",2491648
"2019-11-19",2493987
"2019-11-20",2496307
"2019-11-21",2498272
"2019-11-22",2499764
"2019-11-23",2503755
"2019-11-24",2507433
"2019-11-25",2510292
"2019-11-26",2513876
"2019-11-27",2516792
"2019-11-28",2518622
"2019-11-29",2521240
"2019-11-30",2524449
"2019-12-01",2527487
"2019-12-02",2530200
"2019-12-03",2531720
"2019-12-04",2533570
"2019-12-05",2538105
"2019-12-06",2539648
"2019-12-07",2542025
"2019-12-08",2544994
"2019-12-09",2546987
"2019-12-10",2549526
"2019-12-11",2552657
"2019-12-12",2557103
"2019-12-13",2559494
"2019-12-14",2562725
"2019-12-15",2565331
"2019-12-16",2567171
"2019-12-17",2569507
"2019-12-18",2573484
"2019-12-19",2577358
"2019-12-20",2579838
"2019-12-21",2582051
"2019-12-22",2585283
"2019-12-23",2587548
"2019-12-24",2590372
"2019-12-25",2593524
"2019-12-26",2596921
"2019-12-27",2600283
"2019-12-28",2602500
"2019-12-29",2604748
"2019-12-30",2606365
"2019-12-31",2608097
"2020-01-01",2611801
"2020-01-02",2614207
"2020-01-03",2616830
"2020-01-04",2619040
"2020-01-05",2621529
"2020-01-06",2623395
"2020-01-07",2625374
"2020-01-08",2626896
"2020-01-09",2628955
"2020-01-10",2630344
"2020-01-11",2632692
"2020-01-12",2634753
"2020-01-13",2636808
"2020-01-14",2641434
"2020-01-15",2643785
"2020-01-16",2646316
"2020-01-17",2649142
"2020-01-18",2653243
"2020-01-19",2657622
"2020-01-20",2666379
"2020-01-21",2671803
"2020-01-22",2677069
"2020-01-23",2682149
"2020-01-24",2685901
"2020-01-25",2689696
"2020-01-26",2693735
"2020-01-27",2697050
"2020-01-28",2700221
"2020-01-29",2702859
"2020-01-30",2705484
"2020-01-31",2707754
"2020-02-01",2710808
"2020-02-02",2715723
"2020-02-03",2718416
"2020-02-04",2719895
"2020-02-05",2721560
"2020-02-06",2722910
"2020-02-07",2724102
"2020-02-08",2727070
"2020-02-09",2729673
"2020-02-10",2731644
"2020-02-11",2740309
"2020-02-12",2742864
"2020-02-13",2746013
"2020-02-14",2748774
"2020-02-15",2752262
"2020-02-16",2755062
"2020-02-17",2757941
"2020-02-18",2760993
"2020-02-19",2763979
"2020-02-20",2767593
"2020-02-21",2771439
"2020-02-22",2775339
"2020-02-23",2779003
"2020-02-24",2781762
"2020-02-25",2785020
"2020-02-26",2788127
"2020-02-27",2791399
"2020-02-28",2796347
"2020-02-29",2799834
"2020-03-01",2802998
"2020-03-02",2805537
"2020-03-03",2808813
"2020-03-04",2810933
"2020-03-05",2812821
"2020-03-06",2814986
"2020-03-07",2818432
"2020-03-08",2820584
"2020-03-09",2822402
"2020-03-10",2824699
"2020-03-11",2826761
"2020-03-12",2827482
"2020-03-13",2828818
"2020-03-14",2831322
"2020-03-15",2833181
"2020-03-16",2834219
"2020-03-17",2836209
"2020-03-18",2839622
"2020-03-19",2842062
"2020-03-20",2844574
"2020-03-21",2848070
"2020-03-22",2852188
"2020-03-23",2855315
"2020-03-24",2857782
"2020-03-25",2859626
"2020-03-26",2862173
"2020-03-27",2864480
"2020-03-28",2867921
"2020-03-29",2871212
"2020-03-30",2873768
"2020-03-31",2888248
"2020-04-01",2890753
"2020-04-02",2893092
"2020-04-03",2895819
"2020-04-04",2898221
"2020-04-05",2900628
"2020-04-06",2902402
"2020-04-07",2903930
"2020-04-08",2905636
"2020-04-09",2908024
"2020-04-10",2910894
"2020-04-11",2914429
"2020-04-12",2918317
"2020-04-13",2921288
"2020-04-14",2924226
"2020-04-15",2926975
"2020-04-16",2928885
"2020-04-17",2931335
"2020-04-18",2934294
"2020-04-19",2936741
"2020-04-20",2938952
"2020-04-21",2941797
"2020-04-22",2943855
"2020-04-23",2946256
"2020-04-24",2948151
"2020-04-25",2950516
"2020-04-26",2953102
"2020-04-27",2955472
"2020-04-28",2957606
"2020-04-29",2959269
"2020-04-30",2960609
"2020-05-01",2962689
"2020-05-02",2964762
"2020-05-03",2966627
"2020-05-04",2968612
"2020-05-05",2970531
"2020-05-06",2972078
"2020-05-07",2973412
"2020-05-08",2975284
"2020-05-09",2977578
"2020-05-10",2979296
"2020-05-11",2981189
"2020-05-12",2982882
"2020-05-13",2984597
"2020-05-14",2986020
"2020-05-15",2987736
"2020-05-16",2990277
"2020-05-17",2992819
"2020-05-18",2994563
"2020-05-19",2996129
"2020-05-20",2997781
"2020-05-21",2999375
"2020-05-22",3001031
"2020-05-23",3004139
"2020-05-24",3007409
"2020-05-25",3010184
"2020-05-26",3012423
"2020-05-27",3014602
"2020-05-28",3016540
"2020-05-29",3018495
"2020-05-30",3020202
"2020-05-31",3021257
"2020-06-01",3022407
"2020-06-02",3023275
"2020-06-03",3024266
"2020-06-04",3026716
"2020-06-05",3028182
"2020-06-06",3030320
"2020-06-07",3031863
"2020-06-08",3033268
"2020-06-09",3034412
"2020-06-10",3035483
"2020-06-11",3037993
"2020-06-12",3039672
"2020-06-13",3041289
"2020-06-14",3043342
"2020-06-15",3044808
"2020-06-16",3046925
"2020-06-17",3047924
"2020-06-18",3049315
"2020-06-19",3050330
"2020-06-20",3052237
"2020-06-21",3054459
"2020-06-22",3055671
"2020-06-23",3058538
"2020-06-24",3059699
"2020-06-25",3062410
"2020-06-26",3063910
"2020-06-27",3065508
"2020-06-28",3066614
"2020-06-29",3067547
"2020-06-30",3070158
"2020-07-01",3071344
"2020-07-02",3073069
"2020-07-03",3074356
"2020-07-04",3076901
"2020-07-05",3078697
"2020-07-06",3080020
"2020-07-07",3081333
"2020-07-08",3082671
"2020-07-09",3084479
"2020-07-10",3086387
"2020-07-11",3089426
"2020-07-12",3091406
"2020-07-13",3092458
"2020-07-14",3093556
"2020-07-15",3094724
"2020-07-16",3096065
"2020-07-17",3097134
"2020-07-18",3098598
"2020-07-19",3099564
"2020-07-20",3100476
"2020-07-21",3101500
"2020-07-22",3102467
"2020-07-23",3103375
"2020-07-24",3104509
"2020-07-25",3105667
"2020-07-26",3106626
"2020-07-27",3107247
"2020-07-28",3107929
"2020-07-29",3108693
"2020-07-30",3109632
"2020-07-31",3110380
"2020-08-01",3111217
"2020-08-02",3112098
"2020-08-03",3112906
"2020-08-04",3117752
"2020-08-05",3119119
"2020-08-06",3120088
"2020-08-07",3120871
"2020-08-08",3121825
"2020-08-09",3122587
"2020-08-10",3123079
"2020-08-11",3123539
"2020-08-12",3123767
"2020-08-13",3124420
"2020-08-14",3124884
"2020-08-15",3125492
"2020-08-16",3126085
"2020-08-17",3126558
"2020-08-18",3127232
"2020-08-19",3127849
"2020-08-20",3128658
"2020-08-21",3129197
"2020-08-22",3129812
"2020-08-23",3130591
"2020-08-24",3131183
"2020-08-25",3131900
"2020-08-26",3132716
"2020-08-27",3133529
"2020-08-28",3134399
"2020-08-29",3137111
"2020-08-30",3139320
"2020-08-31",3140327
"2020-09-01",3140512
"2020-09-02",3141055
"2020-09-03",3141911
"2020-09-04",3142957
"2020-09-05",3143795
"2020-09-06",3144751
"2020-09-07",3145897
"2020-09-08",3146833
"2020-09-09",3147762
"2020-09-10",3148507
"2020-09-11",3149334
"2020-09-12",3150195
"2020-09-13",3151213
"2020-09-14",3151952
"2020-09-15",3154151
"2020-09-16",3156086
"2020-09-17",3157397
"2020-09-18",3159703
"2020-09-19",3160635
"2020-09-20",3161775
"2020-09-21",3162613
"2020-09-22",3164649
"2020-09-23",3166105
"2020-09-24",3167603
"2020-09-25",3168842
"2020-09-26",3170140
"2020-09-27",3171517
"2020-09-28",3172797
"2020-09-29",3173878
"2020-09-30",3175140
"2020-10-01",3176382
"2020-10-02",3177588
"2020-10-03",3179551
"2020-10-04",3181033
"2020-10-05",3182747
"2020-10-06",3184502
"2020-10-07",3185946
"2020-10-08",3187442
"2020-10-09",3188964
"2020-10-10",3190419
"2020-10-11",3192310
"2020-10-12",3193860
"2020-10-13",3195508
"2020-10-14",3197064
