"Date","Sales USD"
"2019-01-09",72169961.45
"2019-01-10",72215020.41
"2019-01-11",72275059.49
"2019-01-12",72346333.89
"2019-01-13",72437106.35
"2019-01-14",72527743.77
"2019-01-15",72561410.66
"2019-01-16",72620172.64
"2019-01-17",72665626.54
"2019-01-18",72723364.44
"2019-01-19",72763311.48
"2019-01-20",72828389.28
"2019-01-21",72862469.96
"2019-01-22",72887473.54
"2019-01-23",72915219.56
"2019-01-24",72943103.95
"2019-01-25",72988115.13
"2019-01-26",73025039.47
"2019-01-27",73085562.25
"2019-01-28",73147820.15
"2019-01-29",73173295.86
"2019-01-30",74062911.37
"2019-01-31",74091610.6
"2019-02-01",74122644.26
"2019-02-02",74159956.72
"2019-02-03",74200871.14
"2019-02-04",74231378.85
"2019-02-05",74287477.85
"2019-02-06",74341337.72
"2019-02-07",74376074.32
"2019-02-08",74404116.48
"2019-02-09",74430418.07
"2019-02-10",74484344.17
"2019-02-11",74529776.74
"2019-02-12",74557970.84
"2019-02-13",74584678.49
"2019-02-14",74616325.56
"2019-02-15",74650920.66
"2019-02-16",74680296.63
"2019-02-17",74739329.21
"2019-02-18",74778485.62
"2019-02-19",74838728.95
"2019-02-20",74893952.4
"2019-02-21",74951929.22
"2019-02-22",74993736.17
"2019-02-23",75029513.01
"2019-02-24",75065049.18
"2019-02-25",75104217.86
"2019-02-26",75162167.55
"2019-02-27",75219146.43
"2019-02-28",75257266.09
"2019-03-01",75319715.86
"2019-03-02",75414928.67
"2019-03-03",75474038.79
"2019-03-04",75563779.77
"2019-03-05",75658946.36
"2019-03-06",75730423.04
"2019-03-07",75790299
"2019-03-08",75867072.91
"2019-03-09",75937563.81
"2019-03-10",76021038.79
"2019-03-11",76074245.22
"2019-03-12",76184426.97
"2019-03-13",76246726.02
"2019-03-14",76323552.13
"2019-03-15",76394157.95
"2019-03-16",76457030.13
"2019-03-17",76540977.36
"2019-03-18",76613897.42
"2019-03-19",76681271.42
"2019-03-20",76747856.11
"2019-03-21",76802167.52
"2019-03-22",76857435.71
"2019-03-23",76936885.02
"2019-03-24",77028698.74
"2019-03-25",77093278.43
"2019-03-26",77174642.78
"2019-03-27",77226314.24
"2019-03-28",77341747.76
"2019-03-29",77454818.38
"2019-03-30",77526848.54
"2019-03-31",77605210.9
"2019-04-01",77703530.26
"2019-04-02",77822241.18
"2019-04-03",77892543.17
"2019-04-04",77984440.23
"2019-04-05",78060342.54
"2019-04-06",78116924.13
"2019-04-07",78183581.38
"2019-04-08",78245004.56
"2019-04-09",78307901.1
"2019-04-10",78362219.83
"2019-04-11",78424453.73
"2019-04-12",78499562.58
"2019-04-13",78562372.58
"2019-04-14",78606704.08
"2019-04-15",78705251.41
"2019-04-16",78765515.31
"2019-04-17",78806929.81
"2019-04-18",78854095.83
"2019-04-19",78907166.67
"2019-04-20",78953091.56
"2019-04-21",79013396.88
"2019-04-22",79055851.6
"2019-04-23",79105542.44
"2019-04-24",79207359.94
"2019-04-25",79251708.25
"2019-04-26",79302037.96
"2019-04-27",79373340.21
"2019-04-28",79420280.02
"2019-04-29",79460385.7
"2019-04-30",79666142.12
"2019-05-01",79710578.53
"2019-05-02",79779997.86
"2019-05-03",79830005.49
"2019-05-04",79873945.45
"2019-05-05",79929662.8
"2019-05-06",79967858.83
"2019-05-07",80005680.04
"2019-05-08",80058918.62
"2019-05-09",80100527.68
"2019-05-10",80187847.68
"2019-05-11",80237196.26
"2019-05-12",80300762.23
"2019-05-13",80372009.37
"2019-05-14",80411719.6
"2019-05-15",80482300.54
"2019-05-16",80530589.32
"2019-05-17",80654413.32
"2019-05-18",80771923.64
"2019-05-19",80858834.76
"2019-05-20",80959682.36
"2019-05-21",81056079.38
"2019-05-22",81132056.79
"2019-05-23",81212380.53
"2019-05-24",81380806.16
"2019-05-25",81472614.21
"2019-05-26",81545457.06
"2019-05-27",81732143.27
"2019-05-28",81832128.94
"2019-05-29",81902863.17
"2019-05-30",81968771.49
"2019-05-31",82055097.05
"2019-06-01",82103180.25
"2019-06-02",82169983.68
"2019-06-03",82283929.57
"2019-06-04",82327706.27
"2019-06-05",82383742.27
"2019-06-06",82441135.61
"2019-06-07",82546462.88
"2019-06-08",82582185.66
"2019-06-09",82630735.91
"2019-06-10",82679254.32
"2019-06-11",82722214.31
"2019-06-12",82790691.18
"2019-06-13",82871215.11
"2019-06-14",82935607.11
"2019-06-15",82994223.88
"2019-06-16",83069156.7
"2019-06-17",83119362.3
"2019-06-18",83254457.43
"2019-06-19",83370853.55
"2019-06-20",83446520.52
"2019-06-21",83625695.7
"2019-06-22",83746505.24
"2019-06-23",83801892.52
"2019-06-24",83926859.4
"2019-06-25",83973690.2
"2019-06-26",84048820.47
"2019-06-27",84091941.17
"2019-06-28",84135816.87
"2019-06-29",84198642.27
"2019-06-30",84238165.52
"2019-07-01",84263209.95
"2019-07-02",84293864.02
"2019-07-03",84330977.75
"2019-07-04",84387003.55
"2019-07-05",84439038.48
"2019-07-06",84468411.71
"2019-07-07",84521583.67
"2019-07-08",84574734.3
"2019-07-09",84641946.4
"2019-07-10",84731917.81
"2019-07-11",84790387.44
"2019-07-12",84826390.27
"2019-07-13",84869053.63
"2019-07-14",84924160.5
"2019-07-15",84993520.52
"2019-07-16",85038838.75
"2019-07-17",85101160.89
"2019-07-18",85159263.25
"2019-07-19",85186736.46
"2019-07-20",85223090.89
"2019-07-21",85260114.35
"2019-07-22",85296455.86
"2019-07-23",85329093.14
"2019-07-24",85354591.24
"2019-07-25",85378792.41
"2019-07-26",85411460.48
"2019-07-27",85445429.78
"2019-07-28",85479006.98
"2019-07-29",85531297.8
"2019-07-30",85581382.33
"2019-07-31",85638336.42
"2019-08-01",85713034.96
"2019-08-02",85747149.92
"2019-08-03",85787134.18
"2019-08-04",85823874.73
"2019-08-05",85853430.85
"2019-08-06",85887935.97
"2019-08-07",85924905.03
"2019-08-08",85965695.49
"2019-08-09",86007180.85
"2019-08-10",86028918.69
"2019-08-11",86052910.89
"2019-08-12",86158403.62
"2019-08-13",86201446.55
"2019-08-14",86239341.08
"2019-08-15",86273813.77
"2019-08-16",86318967.65
"2019-08-17",86341741.3
"2019-08-18",86363175.99
"2019-08-19",86394453.21
"2019-08-20",86420733.91
"2019-08-21",86446240.38
"2019-08-22",86488134.38
"2019-08-23",86528504.48
"2019-08-24",86570586.28
"2019-08-25",86605635.53
"2019-08-26",86655619.31
"2019-08-27",86683305.05
"2019-08-28",86748109.67
"2019-08-29",86792647.6
"2019-08-30",86823056.16
"2019-08-31",86869571.96
"2019-09-01",86917100.2
"2019-09-02",86959763.11
"2019-09-03",86997955.05
"2019-09-04",87085715.22
"2019-09-05",87121705.2
"2019-09-06",87150783.02
"2019-09-07",87175793.14
"2019-09-08",87220595.76
"2019-09-09",87296839.75
"2019-09-10",87327977.66
"2019-09-11",87359791.14
"2019-09-12",87398673.95
"2019-09-13",87463555.9
"2019-09-14",87499843.32
"2019-09-15",87528049.72
"2019-09-16",87567525.91
"2019-09-17",87598141.73
"2019-09-18",87627704.86
"2019-09-19",87702972.08
"2019-09-20",87725338.46
"2019-09-21",87757154.66
"2019-09-22",87788416.87
"2019-09-23",87820660.59
"2019-09-24",87858020.74
"2019-09-25",87889479.88
"2019-09-26",87922426.95
"2019-09-27",87944033.91
"2019-09-28",87963526.37
"2019-09-29",88037668.29
"2019-09-30",88068539.39
"2019-10-01",88107966.84
