"Date","Secondary Sales"
"2020-06-17",1682391
"2020-06-18",1682864
"2020-06-19",1683435
"2020-06-20",1684299
"2020-06-21",1685021
"2020-06-22",1685529
"2020-06-23",1686028
"2020-06-24",1686584
"2020-06-25",1687434
"2020-06-26",1687910
"2020-06-27",1688441
"2020-06-28",1688968
"2020-06-29",1689516
"2020-06-30",1690023
"2020-07-01",1690739
"2020-07-02",1691336
"2020-07-03",1692022
"2020-07-04",1692820
"2020-07-05",1693521
"2020-07-06",1694223
"2020-07-07",1694957
"2020-07-08",1696054
"2020-07-09",1697140
"2020-07-10",1698130
"2020-07-11",1699201
"2020-07-12",1700261
"2020-07-13",1700855
"2020-07-14",1701512
"2020-07-15",1702203
"2020-07-16",1702889
"2020-07-17",1703450
"2020-07-18",1704094
"2020-07-19",1704576
"2020-07-20",1705035
"2020-07-21",1705577
"2020-07-22",1706107
"2020-07-23",1706638
"2020-07-24",1707104
"2020-07-25",1707681
"2020-07-26",1708116
"2020-07-27",1708523
"2020-07-28",1708994
"2020-07-29",1709371
"2020-07-30",1709881
"2020-07-31",1710242
"2020-08-01",1710646
"2020-08-02",1711091
"2020-08-03",1711426
"2020-08-04",1711926
"2020-08-05",1712535
"2020-08-06",1713243
"2020-08-07",1713968
"2020-08-08",1714794
"2020-08-09",1715308
"2020-08-10",1715692
"2020-08-11",1716035
"2020-08-12",1716158
"2020-08-13",1716540
"2020-08-14",1717070
"2020-08-15",1717433
"2020-08-16",1718079
"2020-08-17",1718484
"2020-08-18",1718900
"2020-08-19",1719271
"2020-08-20",1719731
"2020-08-21",1720090
"2020-08-22",1720524
"2020-08-23",1721087
"2020-08-24",1721495
"2020-08-25",1722031
"2020-08-26",1722406
"2020-08-27",1722924
"2020-08-28",1723489
"2020-08-29",1724019
"2020-08-30",1724370
"2020-08-31",1724664
"2020-09-01",1724721
"2020-09-02",1724895
"2020-09-03",1725219
"2020-09-04",1725701
"2020-09-05",1726045
"2020-09-06",1726663
"2020-09-07",1727187
"2020-09-08",1727687
"2020-09-09",1728229
"2020-09-10",1728710
"2020-09-11",1729276
"2020-09-12",1729787
"2020-09-13",1730380
"2020-09-14",1730927
"2020-09-15",1731704
"2020-09-16",1732473
"2020-09-17",1732673
"2020-09-18",1733604
"2020-09-19",1734533
"2020-09-20",1735720
"2020-09-21",1736666
"2020-09-22",1738661
"2020-09-23",1742120
"2020-09-24",1743907
"2020-09-25",1746720
"2020-09-26",1748331
"2020-09-27",1750135
"2020-09-28",1751824
"2020-09-29",1753183
"2020-09-30",1754479
"2020-10-01",1755574
"2020-10-02",1756829
"2020-10-03",1758100
"2020-10-04",1759399
"2020-10-05",1760516
"2020-10-06",1762089
"2020-10-07",1763388
"2020-10-08",1764443
"2020-10-09",1765632
"2020-10-10",1766677
"2020-10-11",1767911
"2020-10-12",1768941
"2020-10-13",1769853
"2020-10-14",1771033
"2020-10-15",1772230
"2020-10-16",1773010
"2020-10-17",1774442
"2020-10-18",1775637
"2020-10-19",1776612
"2020-10-20",1777490
"2020-10-21",1778268
"2020-10-22",1779097
"2020-10-23",1780616
"2020-10-24",1782341
"2020-10-25",1783891
"2020-10-26",1785253
"2020-10-27",1786656
"2020-10-28",1787789
"2020-10-29",1789100
"2020-10-30",1790340
"2020-10-31",1791748
"2020-11-01",1792780
"2020-11-02",1793708
"2020-11-03",1794694
"2020-11-04",1795678
"2020-11-05",1796546
"2020-11-06",1797440
"2020-11-07",1798345
"2020-11-08",1799604
"2020-11-09",1800521
"2020-11-10",1801687
"2020-11-11",1802928
"2020-11-12",1804581
"2020-11-13",1806439
"2020-11-14",1808250
"2020-11-15",1810112
"2020-11-16",1811445
"2020-11-17",1812651
"2020-11-18",1814036
"2020-11-19",1815456
"2020-11-20",1816569
"2020-11-21",1817613
