"Date","Active Market Wallets"
"2018-12-30",96885
"2018-12-31",96946
"2019-01-01",96998
"2019-01-02",97153
"2019-01-03",97228
"2019-01-04",97320
"2019-01-05",97385
"2019-01-06",97415
"2019-01-07",97494
"2019-01-08",97568
"2019-01-09",97588
"2019-01-10",97652
"2019-01-11",97783
"2019-01-12",97838
"2019-01-13",97910
"2019-01-14",97959
"2019-01-15",98095
"2019-01-16",98177
"2019-01-17",98201
"2019-01-18",98259
"2019-01-19",98446
"2019-01-20",98534
"2019-01-21",98589
"2019-01-22",98663
"2019-01-23",98782
"2019-01-24",98898
"2019-01-25",99059
"2019-01-26",99207
"2019-01-27",99286
"2019-01-28",99410
"2019-01-29",99488
"2019-01-30",99579
"2019-01-31",99607
"2019-02-01",99729
"2019-02-02",99908
"2019-02-03",100105
"2019-02-04",100193
"2019-02-05",100336
"2019-02-06",100478
"2019-02-07",100648
"2019-02-08",100730
"2019-02-09",100861
"2019-02-10",100910
"2019-02-11",100967
"2019-02-12",101033
"2019-02-13",101072
"2019-02-14",101125
"2019-02-15",101230
"2019-02-16",101442
"2019-02-17",101611
"2019-02-18",101655
"2019-02-19",101725
"2019-02-20",101773
"2019-02-21",101826
"2019-02-22",101890
"2019-02-23",101930
"2019-02-24",101972
"2019-02-25",102051
"2019-02-26",102162
"2019-02-27",102408
"2019-02-28",102465
"2019-03-01",102591
"2019-03-02",102664
"2019-03-03",102751
"2019-03-04",102834
"2019-03-05",102951
"2019-03-06",103013
"2019-03-07",103129
"2019-03-08",103177
"2019-03-09",103286
"2019-03-10",103424
"2019-03-11",103518
"2019-03-12",103672
"2019-03-13",103718
"2019-03-14",103900
"2019-03-15",104014
"2019-03-16",104092
"2019-03-17",104214
"2019-03-18",104304
"2019-03-19",104398
"2019-03-20",104472
"2019-03-21",104598
"2019-03-22",104757
"2019-03-23",104839
"2019-03-24",104921
"2019-03-25",105060
"2019-03-26",105151
"2019-03-27",105252
"2019-03-28",105402
"2019-03-29",105632
"2019-03-30",105828
"2019-03-31",105851
"2019-04-01",105943
"2019-04-02",106133
"2019-04-03",106271
"2019-04-04",106397
"2019-04-05",106466
"2019-04-06",106488
"2019-04-07",106570
"2019-04-08",106700
"2019-04-09",106796
"2019-04-10",106876
"2019-04-11",107036
"2019-04-12",107240
"2019-04-13",107331
"2019-04-14",107502
"2019-04-15",107577
"2019-04-16",107641
"2019-04-17",107715
"2019-04-18",107868
"2019-04-19",107956
"2019-04-20",108052
"2019-04-21",108114
"2019-04-22",108169
"2019-04-23",108273
"2019-04-24",108359
"2019-04-25",108446
"2019-04-26",108552
"2019-04-27",108645
"2019-04-28",108748
"2019-04-29",108852
"2019-04-30",108988
"2019-05-01",109116
"2019-05-02",109158
"2019-05-03",109305
"2019-05-04",109571
"2019-05-05",109665
"2019-05-06",109785
"2019-05-07",109980
"2019-05-08",110134
"2019-05-09",110294
"2019-05-10",110492
"2019-05-11",110639
"2019-05-12",110802
"2019-05-13",110991
"2019-05-14",111111
"2019-05-15",111209
"2019-05-16",111295
"2019-05-17",111464
"2019-05-18",111673
"2019-05-19",111859
"2019-05-20",112067
"2019-05-21",112261
"2019-05-22",112302
"2019-05-23",112422
"2019-05-24",112644
"2019-05-25",112725
"2019-05-26",112915
"2019-05-27",113030
"2019-05-28",113142
"2019-05-29",113338
"2019-05-30",113475
"2019-05-31",113524
"2019-06-01",113617
"2019-06-02",113763
"2019-06-03",113822
"2019-06-04",113918
"2019-06-05",113970
"2019-06-06",114041
"2019-06-07",114202
"2019-06-08",114259
"2019-06-09",114381
"2019-06-10",114475
"2019-06-11",114608
"2019-06-12",114782
"2019-06-13",114902
"2019-06-14",115041
"2019-06-15",115137
"2019-06-16",115247
"2019-06-17",115327
"2019-06-18",115397
"2019-06-19",115600
"2019-06-20",115706
"2019-06-21",115896
"2019-06-22",116090
"2019-06-23",116217
"2019-06-24",116413
"2019-06-25",116458
"2019-06-26",116552
"2019-06-27",116683
"2019-06-28",116810
"2019-06-29",116860
"2019-06-30",116929
"2019-07-01",116995
"2019-07-02",117063
"2019-07-03",117110
"2019-07-04",117223
"2019-07-05",117374
"2019-07-06",117459
"2019-07-07",117510
"2019-07-08",117612
"2019-07-09",117753
"2019-07-10",117832
"2019-07-11",117914
"2019-07-12",118028
"2019-07-13",118068
"2019-07-14",118081
"2019-07-15",118156
"2019-07-16",118206
"2019-07-17",118279
"2019-07-18",118368
"2019-07-19",118449
"2019-07-20",118553
"2019-07-21",118625
"2019-07-22",118704
"2019-07-23",118809
"2019-07-24",118957
"2019-07-25",119007
"2019-07-26",119107
"2019-07-27",119129
"2019-07-28",119166
"2019-07-29",119286
"2019-07-30",119355
"2019-07-31",119435
"2019-08-01",119556
"2019-08-02",119654
"2019-08-03",119719
"2019-08-04",119747
"2019-08-05",119829
"2019-08-06",119925
"2019-08-07",120020
"2019-08-08",120142
"2019-08-09",120271
"2019-08-10",120450
"2019-08-11",120505
"2019-08-12",120613
"2019-08-13",120702
"2019-08-14",120779
"2019-08-15",120959
"2019-08-16",121021
"2019-08-17",121101
"2019-08-18",121178
