"Date","Unique Buyers"
"2019-01-20",95438
"2019-01-21",95478
"2019-01-22",95552
"2019-01-23",95652
"2019-01-24",95753
"2019-01-25",95875
"2019-01-26",96010
"2019-01-27",96074
"2019-01-28",96181
"2019-01-29",96237
"2019-01-30",96319
"2019-01-31",96356
"2019-02-01",96463
"2019-02-02",96608
"2019-02-03",96706
"2019-02-04",96756
"2019-02-05",96868
"2019-02-06",96972
"2019-02-07",97124
"2019-02-08",97206
"2019-02-09",97271
"2019-02-10",97375
"2019-02-11",97417
"2019-02-12",97467
"2019-02-13",97508
"2019-02-14",97568
"2019-02-15",97679
"2019-02-16",97874
"2019-02-17",98021
"2019-02-18",98071
"2019-02-19",98132
"2019-02-20",98176
"2019-02-21",98226
"2019-02-22",98285
"2019-02-23",98328
"2019-02-24",98389
"2019-02-25",98444
"2019-02-26",98525
"2019-02-27",98768
"2019-02-28",98811
"2019-03-01",98916
"2019-03-02",98977
"2019-03-03",99057
"2019-03-04",99131
"2019-03-05",99255
"2019-03-06",99318
"2019-03-07",99402
"2019-03-08",99463
"2019-03-09",99520
"2019-03-10",99639
"2019-03-11",99737
"2019-03-12",99900
"2019-03-13",99941
"2019-03-14",100070
"2019-03-15",100161
"2019-03-16",100238
"2019-03-17",100351
"2019-03-18",100455
"2019-03-19",100536
"2019-03-20",100611
"2019-03-21",100694
"2019-03-22",100833
"2019-03-23",100865
"2019-03-24",100923
"2019-03-25",101043
"2019-03-26",101098
"2019-03-27",101183
"2019-03-28",101333
"2019-03-29",101544
"2019-03-30",101692
"2019-03-31",101730
"2019-04-01",101811
"2019-04-02",101897
"2019-04-03",102011
"2019-04-04",102129
"2019-04-05",102192
"2019-04-06",102211
"2019-04-07",102288
"2019-04-08",102406
"2019-04-09",102471
"2019-04-10",102549
"2019-04-11",102667
"2019-04-12",102844
"2019-04-13",102897
"2019-04-14",103043
"2019-04-15",103075
"2019-04-16",103119
"2019-04-17",103201
"2019-04-18",103297
"2019-04-19",103344
"2019-04-20",103403
"2019-04-21",103460
"2019-04-22",103513
"2019-04-23",103600
"2019-04-24",103695
"2019-04-25",103748
"2019-04-26",103764
"2019-04-27",103805
"2019-04-28",103870
"2019-04-29",103985
"2019-04-30",104082
"2019-05-01",104199
"2019-05-02",104246
"2019-05-03",104352
"2019-05-04",104549
"2019-05-05",104635
"2019-05-06",104704
"2019-05-07",104882
"2019-05-08",105046
"2019-05-09",105231
"2019-05-10",105377
"2019-05-11",105507
"2019-05-12",105625
"2019-05-13",105791
"2019-05-14",105904
"2019-05-15",106039
"2019-05-16",106178
"2019-05-17",106333
"2019-05-18",106524
"2019-05-19",106718
"2019-05-20",106907
"2019-05-21",107085
"2019-05-22",107144
"2019-05-23",107268
"2019-05-24",107496
"2019-05-25",107566
"2019-05-26",107712
"2019-05-27",107783
"2019-05-28",107892
"2019-05-29",108057
"2019-05-30",108175
"2019-05-31",108219
"2019-06-01",108303
"2019-06-02",108404
"2019-06-03",108450
"2019-06-04",108560
"2019-06-05",108615
"2019-06-06",108677
"2019-06-07",108765
"2019-06-08",108832
"2019-06-09",108895
"2019-06-10",108973
"2019-06-11",109083
"2019-06-12",109223
"2019-06-13",109320
"2019-06-14",109438
"2019-06-15",109499
"2019-06-16",109591
"2019-06-17",109667
"2019-06-18",109735
"2019-06-19",109938
"2019-06-20",110028
"2019-06-21",110216
"2019-06-22",110346
"2019-06-23",110434
"2019-06-24",110563
"2019-06-25",110613
"2019-06-26",110712
"2019-06-27",110784
"2019-06-28",110899
"2019-06-29",110932
"2019-06-30",111002
"2019-07-01",111062
"2019-07-02",111116
"2019-07-03",111159
"2019-07-04",111261
"2019-07-05",111397
"2019-07-06",111443
"2019-07-07",111487
"2019-07-08",111566
"2019-07-09",111669
"2019-07-10",111733
"2019-07-11",111791
"2019-07-12",111881
"2019-07-13",111922
"2019-07-14",111951
"2019-07-15",112027
"2019-07-16",112072
"2019-07-17",112138
"2019-07-18",112218
"2019-07-19",112266
"2019-07-20",112319
"2019-07-21",112375
"2019-07-22",112438
"2019-07-23",112523
"2019-07-24",112640
"2019-07-25",112693
"2019-07-26",112772
"2019-07-27",112792
"2019-07-28",112825
"2019-07-29",112957
"2019-07-30",113029
"2019-07-31",113101
"2019-08-01",113189
"2019-08-02",113281
"2019-08-03",113347
"2019-08-04",113388
"2019-08-05",113453
"2019-08-06",113499
"2019-08-07",113585
"2019-08-08",113668
"2019-08-09",113779
"2019-08-10",113944
"2019-08-11",114002
"2019-08-12",114082
"2019-08-13",114137
"2019-08-14",114222
"2019-08-15",114343
"2019-08-16",114407
"2019-08-17",114460
"2019-08-18",114535
"2019-08-19",114590
"2019-08-20",114809
"2019-08-21",114910
"2019-08-22",115010
"2019-08-23",115071
"2019-08-24",115214
"2019-08-25",115280
"2019-08-26",115496
"2019-08-27",115549
"2019-08-28",115647
"2019-08-29",115746
"2019-08-30",115817
"2019-08-31",115880
"2019-09-01",115967
"2019-09-02",115984
"2019-09-03",116086
"2019-09-04",116160
"2019-09-05",116209
"2019-09-06",116248
"2019-09-07",116271
"2019-09-08",116371
"2019-09-09",116394
"2019-09-10",116565
"2019-09-11",116624
"2019-09-12",116712
"2019-09-13",116780
"2019-09-14",116822
"2019-09-15",116863
"2019-09-16",116969
"2019-09-17",117033
"2019-09-18",117037
"2019-09-19",117079
"2019-09-20",117146
"2019-09-21",117231
"2019-09-22",117329
"2019-09-23",117374
"2019-09-24",117396
"2019-09-25",117411
"2019-09-26",117427
"2019-09-27",117434
"2019-09-28",117492
"2019-09-29",117594
"2019-09-30",117691
"2019-10-01",117737
"2019-10-02",117802
"2019-10-03",117916
"2019-10-04",117959
"2019-10-05",117974
"2019-10-06",118019
"2019-10-07",118037
"2019-10-08",118112
"2019-10-09",118184
"2019-10-10",118224
"2019-10-11",118302
"2019-10-12",118355
"2019-10-13",118497
"2019-10-14",118592
"2019-10-15",118655
"2019-10-16",118797
"2019-10-17",118925
"2019-10-18",119098
"2019-10-19",119273
"2019-10-20",119453
"2019-10-21",119526
"2019-10-22",119611
"2019-10-23",119693
"2019-10-24",119817
"2019-10-25",119970
"2019-10-26",120102
"2019-10-27",120227
"2019-10-28",120298
"2019-10-29",120438
"2019-10-30",120499
"2019-10-31",120533
"2019-11-01",120684
"2019-11-02",120764
"2019-11-03",120850
"2019-11-04",121038
"2019-11-05",121191
"2019-11-06",121270
"2019-11-07",121466
"2019-11-08",121587
"2019-11-09",121808
"2019-11-10",121933
"2019-11-11",122262
"2019-11-12",122644
"2019-11-13",122977
"2019-11-14",123115
"2019-11-15",123277
"2019-11-16",123394
"2019-11-17",123456
"2019-11-18",123585
"2019-11-19",123742
"2019-11-20",123980
"2019-11-21",124074
"2019-11-22",124442
"2019-11-23",124619
"2019-11-24",124801
"2019-11-25",124876
"2019-11-26",125023
"2019-11-27",125123
"2019-11-28",125217
"2019-11-29",125295
"2019-11-30",125409
"2019-12-01",125447
"2019-12-02",125649
"2019-12-03",125804
"2019-12-04",125907
"2019-12-05",126160
"2019-12-06",126228
"2019-12-07",126281
"2019-12-08",126411
"2019-12-09",126469
"2019-12-10",126564
"2019-12-11",126672
"2019-12-12",126795
"2019-12-13",126907
"2019-12-14",127056
"2019-12-15",127154
"2019-12-16",127236
"2019-12-17",127303
"2019-12-18",127422
"2019-12-19",127635
"2019-12-20",127734
"2019-12-21",127844
"2019-12-22",127938
"2019-12-23",128065
"2019-12-24",128152
"2019-12-25",128233
"2019-12-26",128306
"2019-12-27",128382
"2019-12-28",128487
"2019-12-29",128613
"2019-12-30",128774
"2019-12-31",128872
"2020-01-01",128941
"2020-01-02",129009
"2020-01-03",129088
"2020-01-04",129181
"2020-01-05",129284
"2020-01-06",129385
"2020-01-07",129626
"2020-01-08",129684
"2020-01-09",129755
"2020-01-10",129826
"2020-01-11",129912
"2020-01-12",129993
"2020-01-13",130092
"2020-01-14",130209
"2020-01-15",130272
"2020-01-16",130324
"2020-01-17",130404
"2020-01-18",130499
"2020-01-19",130563
"2020-01-20",130664
"2020-01-21",130748
"2020-01-22",130812
"2020-01-23",130951
"2020-01-24",131048
"2020-01-25",131149
"2020-01-26",131221
"2020-01-27",131324
"2020-01-28",131396
"2020-01-29",131587
"2020-01-30",131618
"2020-01-31",131689
"2020-02-01",131763
"2020-02-02",131820
"2020-02-03",131881
"2020-02-04",131961
"2020-02-05",132018
"2020-02-06",132104
"2020-02-07",132194
"2020-02-08",132232
"2020-02-09",132273
"2020-02-10",132386
"2020-02-11",132945
"2020-02-12",133372
"2020-02-13",133902
"2020-02-14",134122
"2020-02-15",134350
"2020-02-16",134580
"2020-02-17",134852
"2020-02-18",135484
"2020-02-19",135996
"2020-02-20",136670
"2020-02-21",136950
"2020-02-22",137219
"2020-02-23",137361
"2020-02-24",137466
"2020-02-25",137546
"2020-02-26",137737
"2020-02-27",138026
"2020-02-28",138854
"2020-02-29",139055
"2020-03-01",139154
